id,speech_id,person_id,surname
1901,2925402,24982,johnson
1902,2925403,27063,ayotte
1903,2925404,27063,ayotte
1904,2925405,27063,ayotte
1905,2925406,27063,ayotte
1906,2925407,9936,o'carroll
1907,2925408,27063,ayotte
1908,2925409,27063,ayotte
1909,2925410,9936,o'carroll
1910,2925411,27063,ayotte
1911,2925412,9936,o'carroll
1912,2925413,27063,ayotte
1913,2925414,24982,johnson
1914,2925415,34058,ernst
1915,2925416,24982,johnson
1916,2925417,34058,ernst
1917,2925418,9936,o'carroll
1918,2925419,34058,ernst
1919,2925420,9936,o'carroll
1920,2925421,34058,ernst
1921,2925422,34058,ernst
1922,2925423,34058,ernst
1923,2925424,34058,ernst
1924,2925425,34058,ernst
1925,2925426,2976,carper
1926,2925427,33079,mader
1927,2925428,2976,carper
1928,2925429,2976,carper
1929,2925430,9936,o'carroll
1930,2925431,2976,carper
1931,2925432,9936,o'carroll
1932,2925433,2976,carper
1933,2925434,2976,carper
1934,2925435,2976,carper
1935,2925436,31299,davis
1936,2925437,2976,carper
1937,2925438,9936,o'carroll
1938,2925439,24982,johnson
1939,2925440,24982,johnson
1940,2925441,24982,johnson
1941,2925442,24982,johnson
1942,2925443,24982,johnson
1943,2925444,24982,johnson
1944,2925445,24982,johnson
1945,2925446,24982,johnson
1946,2925447,31299,davis
1947,2925448,24982,johnson
1948,2925449,31299,davis
1949,2925450,24982,johnson
1950,2925451,24982,johnson
1951,2925452,24982,johnson
1952,2925453,9936,o'carroll
